Main ID,Incident ID,Incident Type,Region of Incident,Website Date,Incident year,Reported Month,Number of Dead,Minimum Estimated Number of Missing,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Region of Origin,Cause of Death,Country of Origin,Migration route,Location of death,Information Source,Coordinates,UNSD Geographical Grouping,Article title,Source Quality,URL
2017.MMP01143,2017.MMP01143,Incident,North America,2017-11-15,2017,November,1.0,,1,,,1.0,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Open desert, Ocotillo,  Imperial County, California",Imperial County Coroner's Office,"32.77645796, -116.02645234",Northern America,,5.0,
2017.MMP01145,2017.MMP01145,Incident,North America,2017-11-16,2017,November,1.0,,1,,,1.0,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.96283, -110.2434",Northern America,,5.0,
2017.MMP01150,2017.MMP01150,Incident,North America,2017-11-17,2017,November,1.0,,1,,,1.0,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.90245, -110.4074",Northern America,,5.0,
2017.MMP01173,2017.MMP01173,Incident,North America,2017-11-24,2017,November,1.0,,1,,,1.0,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.1505, -112.90348",Northern America,,5.0,
2017.MMP01190,2017.MMP01190,Incident,North America,2017-11-27,2017,November,1.0,,1,,,1.0,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Open desert, Salton City, Imperial County, California ",Imperial County Coroner's Office,"33.29373544, -116.03022408",Northern America,,5.0,
2017.MMP01193,2017.MMP01193,Incident,North America,2017-11-28,2017,November,1.0,,1,,,1.0,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.88146, -111.40476",Northern America,,5.0,
2017.MMP01198,2017.MMP01198,Incident,North America,2017-11-29,2017,November,1.0,,1,,,1.0,,Central America,Violence,Guatemala,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","AZ Central, US Border Patrol, Pima County Office of the Medical Examiner","31.8054091, -111.6176713",Northern America,Arizona Border Patrol agent fatally shoots man suspected of being undocumented immigrant,5.0,http://bit.ly/2k9vqYx
2017.MMP01199,2017.MMP01199,Incident,North America,2017-11-29,2017,November,1.0,,1,,,1.0,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Laborcitas Creek Ranch, Brooks County, Texas",South Texas Human Rights Center director Eduardo Canales,"27.2403194, -98.2044504",Northern America,,5.0,
2017.MMP01205,2017.MMP01205,Incident,Central America,2017-11-30,2017,November,1.0,,1,,,1.0,,Latin America / Caribbean (P),Violence,Unknown,US-Mexico border crossing,"Tecate, Baja California, Mexico",El Mexicano,"32.5753828, -116.63538355",Central America,Hallan a migrante muerto,1.0,http://bit.ly/2AwkzOy
2017.MMP01214,2017.MMP01214,Incident,North America,2017-12-03,2017,December,1.0,,1,,,1.0,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.86881, -111.36656",Northern America,,5.0,
2017.MMP01215,2017.MMP01215,Incident,North America,2017-12-03,2017,December,1.0,,1,,,1.0,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.68535, -110.42346",Northern America,,5.0,
2017.MMP01226,2017.MMP01226,Incident,North America,2017-12-07,2017,December,1.0,,1,14.0,,1.0,,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water",Honduras,US-Mexico border crossing,"Paloma Ranch, near Eagle Pass, Maverick County, Texas, USA",US Border Patrol,"27.25232157, -97.86333558",Northern America,"Border Patrol Agents Rescue Aliens, Find One Dead, Near Eagle Pass",5.0,http://bit.ly/2BT4Czx
2017.MMP01227,2017.MMP01227,Incident,North America,2017-12-07,2017,December,1.0,,1,,,,,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water",Honduras,US-Mexico border crossing,"Isabella Ranch near Falfurrias, Brooks County, Texas / USBP Rio Grande Valley Sector",US Border Patrol,"27.15125131, -98.20322291",Northern America,"Tragedy on ranch lands in Rio Grande Valley: Unidentified body found, cold spell claims second unknown man",5.0,http://bit.ly/2jz49Pk
2017.MMP01228,2017.MMP01228,Incident,North America,2017-12-07,2017,December,1.0,,1,,,1.0,,Latin America / Caribbean (P),"Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,US-Mexico border crossing,"Ranch near Norias, Kenedy County, Texas / USBP Rio Grande Valley Sector","US Border Patrol, South Texas Human Rights Center director Eduardo Canales","26.76431224, -97.79945195",Northern America,"Tragedy on ranch lands in Rio Grande Valley: Unidentified body found, cold spell claims second unknown man",5.0,http://bit.ly/2jz49Pk
2017.MMP01229,2017.MMP01229,Incident,North America,2017-12-07,2017,December,1.0,,1,,,1.0,,Latin America / Caribbean (P),"Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,US-Mexico border crossing,"Dos Jefes Pasture Laborcitas Creek Ranch, Brooks County, Texas",South Texas Human Rights Center director Eduardo Canales,"27.2403194, -98.2044504",Northern America,,5.0,
2017.MMP01230,2017.MMP01230,Incident,North America,2017-12-07,2017,December,1.0,,1,,,1.0,1.0,Central America,Drowning,Mexico,US-Mexico border crossing,"Río Bravo, 1708 Old Military Road, Peñitas, Hidalgo County, Texas","US Border Patrol, Hidalgo County Sheriff's Office","26.22493055, -98.44542785",Northern America,Rio Grande Valley Missing Migrant Program assistance nets positive identification of two deceased immigrants,5.0,http://bit.ly/2BKXdWu
2017.MMP01237,2017.MMP01237,Incident,North America,2017-12-08,2017,December,1.0,,1,14.0,,1.0,,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water",Guatemala,US-Mexico border crossing,"Big Bend area, near Marfa, Presidio County, Texas, USA",US Border Patrol,"29.1274869, -103.2425379",Northern America,Air and Marine Operations Saves 14 Illegal Aliens From Guatemala Found Lost And Freezing in Desert,5.0,http://bit.ly/2iUG8OU
2017.MMP01238,2017.MMP01238,Incident,North America,2017-12-08,2017,December,1.0,,1,,1.0,,,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water",Mexico,US-Mexico border crossing,"Ranch near 301 W Expressway 83, McAllen, Hidalgo County, Texas, USA","US Border Patrol, Hidalgo County Sheriff's Office","26.45825543, -98.22198455",Northern America,Ten immigrants found dead during unseasonably cold weather in the Rio Grande Valley,5.0,http://bit.ly/2D14Ci9
2017.MMP01242,2017.MMP01242,Incident,North America,2017-12-09,2017,December,2.0,,2,,,,,Latin America / Caribbean (P),"Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,US-Mexico border crossing,"Laborcitas Ranch near Highway 281, north of the Falfurrias U.S. Border Patrol checkpoint, Brooks County, Texas, USA","US Border Patrol, South Texas Human Rights Center director Eduardo Canales","27.20583595, -98.14019307",Northern America,Ten immigrants found dead during unseasonably cold weather in the Rio Grande Valley,5.0,http://bit.ly/2D14Ci9
2017.MMP01243,2017.MMP01243,Incident,Central America,2017-12-09,2017,December,1.0,,1,,,1.0,,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water",Mexico,US-Mexico border crossing,"Colonia Pima 2, northeast Nogales, Sonora, Mexico","El Diaro de Sonora, InfoNogales","31.32982065, -110.92017697",Central America,Encuentran a hombre sin vida en el Pima 2,3.0,http://bit.ly/2Av0cCl
2017.MMP01244,"2017.MMP012441277,2017.MMP012441278",Split Incident,North America,2017-12-09,2017,December,2.0,,2,,,2.0,,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water","El Salvador,Mexico",US-Mexico border crossing,"Cage Ranch, Brooks County, Texas",South Texas Human Rights Center director Eduardo Canales,"27.1093699, -98.2123346",Northern America,,5.0,
2017.MMP01246,"2017.MMP012461280,2017.MMP012461281",Split Incident,North America,2017-12-09,2017,December,3.0,,3,,,3.0,,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water","Guatemala,Mexico",US-Mexico border crossing,"Dos Jefes Pasture Laborcitas Creek Ranch, Brooks County, Texas",South Texas Human Rights Center director Eduardo Canales,"27.2403194, -98.2044504",Northern America,,5.0,
2017.MMP01257,2017.MMP01257,Cumulative Incident,North America,2017-12-13,2017,December,7.0,,7,,2.0,8.0,,Latin America / Caribbean (P),"Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,US-Mexico border crossing,"Various locations in Texas, USA",KGNS,"27.8174487, -99.0128926",Northern America,,1.0,http://bit.ly/2BlQWQN
2017.MMP01266,2017.MMP01266,Incident,North America,2017-12-14,2017,December,1.0,,1,,,1.0,,Latin America / Caribbean (P),"Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,US-Mexico border crossing,"Jones Ranch near Falfurrias, Brooks County, Texas / USBP Rio Grande Valley Sector","US Border Patrol, South Texas Human Rights Center director Eduardo Canales","27.07179562, -98.26502101",Northern America,Ten immigrants found dead during unseasonably cold weather in the Rio Grande Valley,5.0,http://bit.ly/2D14Ci9
2017.MMP01281,2017.MMP01281,Incident,North America,2017-12-18,2017,December,1.0,,1,,,1.0,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.05535, -112.429783",Northern America,,5.0,
2017.MMP01311,2017.MMP01311,Incident,North America,2017-12-23,2017,December,1.0,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Outside Quemado, Maverick County, Texas, USA",Zócalo,"28.9480229, -100.6239711",Northern America,Hallan restos humanos cerca del río Bravo,1.0,http://bit.ly/2D2zY7h
2017.MMP01312,2017.MMP01312,Incident,Central America,2017-12-23,2017,December,1.0,,1,,,1.0,,Latin America / Caribbean (P),Drowning,Unknown,US-Mexico border crossing,"Río Bravo, Nuevo Laredo, Tamaulipas, Mexico",La Jornada,"27.48067749, -99.4793635",Central America,Rescatan cuerpo de migrante en río Bravo,1.0,http://bit.ly/2lWoT0E
2017.MMP01331,2017.MMP01331,Incident,North America,2017-12-30,2017,December,1.0,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.09966, -112.70402",Northern America,,5.0,
2017.MMP01335,2017.MMP01335,Cumulative Incident,North America,2017-12-31,2017,December,2.0,,2,,,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Brooks County, Texas, USA","South Texas Human Rights Center, Webb County Office of the Medical Examiner","27.0273057, -98.2212979",Northern America,One Texas County Reports 52 Dead Migrants in 2017,5.0,http://bit.ly/2AureVF
2017.MMP01336,2017.MMP01336,Cumulative Incident,North America,2017-12-31,2017,December,1.0,,1,,,,,Latin America / Caribbean (P),Vehicle accident / death linked to hazardous transport,Unknown,US-Mexico border crossing,"El Paso County, Texas, USA",El Paso Sector Border Patrol,"31.8039824, -106.2051484",Northern America,,5.0,
2017.MMP01337,2017.MMP01337,Cumulative Incident,North America,2017-12-31,2017,December,4.0,,4,,,4.0,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"San Diego County, California",San Diego County Office of Vital Records,"32.7157305, -117.1610966",Northern America,,5.0,
2017.MMP01338,2017.MMP01338,Cumulative Incident,North America,2017-12-31,2017,December,48.0,,48,,,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Webb County, Texas, USA",Webb County Office of the Medical Examiner,"27.8174487, -99.0128926",Northern America,,5.0,
2017.MMP01339,2017.MMP01339,Cumulative Incident,North America,2017-12-31,2017,December,3.0,,3,,,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Zapata County, Texas, USA",Webb County Office of the Medical Examiner,"26.9730763, -99.1013498",Northern America,,5.0,
2017.MMP01340,2017.MMP01340,Cumulative Incident,North America,2017-12-31,2017,December,2.0,,2,,,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Jim Hogg County, Texas, USA",Webb County Office of the Medical Examiner,"26.995506, -98.7481167",Northern America,,5.0,
2017.MMP01341,2017.MMP01341,Cumulative Incident,North America,2017-12-31,2017,December,1.0,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Val Verde County, Texas, USA",Webb County Office of the Medical Examiner,"29.8687682, -101.1617356",Northern America,,5.0,
2017.MMP01342,2017.MMP01342,Cumulative Incident,North America,2017-12-31,2017,December,2.0,,2,,,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"La Salle County, Texas, USA",Webb County Office of the Medical Examiner,"28.2758921, -99.1013498",Northern America,,5.0,
2017.MMP01343,2017.MMP01343,Cumulative Incident,North America,2017-12-31,2017,December,4.0,,4,,,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Dimmit County, Texas, USA",Webb County Office of the Medical Examiner,"28.4116514, -99.8124935",Northern America,,5.0,
2017.MMP02293,2017.MMP02293,Incident,North America,2017-04-10,2017,April,1.0,,1,,,1.0,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.763517, -112.2896",Northern America,,5.0,
2017.MMP02431,2017.MMP02431,Incident,North America,2017-05-29,2017,May,1.0,,1,,,1.0,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.88556, -110.54183",Northern America,,5.0,
2017.MMP02645,2017.MMP02645,Incident,North America,2017-07-19,2017,July,1.0,,1,,,1.0,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.76645, -112.817267",Northern America,,5.0,
2017.MMP02930,2017.MMP02930,Incident,North America,2017-09-21,2017,September,1.0,,1,,,1.0,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.734083, -112.355117",Northern America,,5.0,
2017.MMP21145,2017.MMP21145,Incident,North America,2017-11-14,2017,November,1.0,,1,,,1.0,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.7873, -113.2526",Northern America,,5.0,
2018.MMP00002,2018.MMP00002,Incident,North America,2018-01-02,2018,January,1.0,,1,,,1.0,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.264014, -111.661872",Northern America,,5.0,http://www.humaneborders.info/
2018.MMP00003,2018.MMP00003,Incident,North America,2018-01-02,2018,January,1.0,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Ranch near Falfurrias, Brooks County, Texas, USA","South Texas Human Rights Center, KRIS TV, Caller Times","27.2474839, -98.3788079",Northern America,Border Patrol: Skeletal remains discovered over several days in South Texas,4.0,http://bit.ly/2EFoOHq
2018.MMP00004,2018.MMP00004,Incident,North America,2018-01-02,2018,January,1.0,,1,,,1.0,,Central America,Mixed or unknown,Guatemala,US-Mexico border crossing,"Mariposa Ranch near Falfurrias, Brooks County, Texas, USA","South Texas Human Rights Center, KRIS TV, Caller Times","27.1058052, -98.146774",Northern America,Border Patrol: Skeletal remains discovered over several days in South Texas,4.0,http://bit.ly/2EFoOHq
2018.MMP00007,2018.MMP00007,Incident,Central America,2018-01-03,2018,January,1.0,,1,,,1.0,,Latin America / Caribbean (P),Drowning,Unknown,US-Mexico border crossing,"Rio Bravo, at Donna Rio Bravo International Bridge, Tamaulipas, Mexico",El Mañana,"26.0635489, -98.0760348",Central America,Rescatan cuerpo de ahogado en el Bravo,1.0,http://bit.ly/2CSAtBY
2018.MMP00009,2018.MMP00009,Incident,North America,2018-01-04,2018,January,1.0,,1,,,1.0,,Central America,Mixed or unknown,Mexico,US-Mexico border crossing,"East Ranch-Santa Fe Feeders, near Encino, 20 miles south of Falfurrias, Brooks County, Texas, USA","South Texas Human Rights Center, KRIS TV, Caller Times","26.8077686, -98.118294",Northern America,Border Patrol: Skeletal remains discovered over several days in South Texas,4.0,http://bit.ly/2EFoOHq
2018.MMP00033,2018.MMP00033,Incident,North America,2018-01-14,2018,January,1.0,,1,,,1.0,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.39765, -113.1346",Northern America,,5.0,http://www.humaneborders.info/
2018.MMP00036,2018.MMP00036,Incident,Central America,2018-01-15,2018,January,1.0,,1,,,,1.0,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water",Honduras,US-Mexico border crossing,"Nogales, Sonora, Mexico",El Siglo de Durango,"31.2999031, -110.9380298",Central America,Bebé de migrantes hondureños fallece por heladas en Nogales,1.0,http://bit.ly/2DclAd1
2018.MMP00044,2018.MMP00044,Incident,North America,2018-01-17,2018,January,1.0,,1,,,1.0,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.994183, -112.816067",Northern America,,5.0,http://www.humaneborders.info/
2018.MMP00053,2018.MMP00053,Incident,North America,2018-01-19,2018,January,1.0,,1,,,1.0,,Latin America / Caribbean (P),"Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,US-Mexico border crossing,"900 Mebus Road, east of Tornillo port of entry, El Paso County, Texas, USA",KFOX14,"31.4434619, -105.9942578",Northern America,"Body found near Tornillo port of entry, border agents say",1.0,http://bit.ly/2tEfaD1
2018.MMP00054,2018.MMP00054,Incident,North America,2018-01-19,2018,January,1.0,,1,,,1.0,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.9843, -112.134917",Northern America,,5.0,http://www.humaneborders.info/
2018.MMP00060,2018.MMP00060,Incident,North America,2018-01-20,2018,January,1.0,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Isabella Ranch, Brooks County, Texas, USA",South Texas Human Rights Center,"27.1144162, -98.4270255",Northern America,,4.0,
2018.MMP00062,2018.MMP00062,Incident,North America,2018-01-21,2018,January,1.0,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Private ranch in Kenedy County, Texas, USA",Kenedy County Sheriff's Office,"26.8697147, -97.6982272",Northern America,,5.0,
2018.MMP00063,"2018.MMP0006365,2018.MMP0006366,2018.MMP0006367",Split Incident,North America,2018-01-21,2018,January,5.0,,5,,,5.0,,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water","El Salvador,Honduras,Unknown",US-Mexico border crossing,"Lasater Ranch, Brooks County, Texas, USA",South Texas Human Rights Center,"27.1941061, -98.0548259",Northern America,,4.0,
2018.MMP00074,2018.MMP00074,Incident,Central America,2018-01-23,2018,January,1.0,,1,,1.0,,,Central America,Drowning,Guatemala,US-Mexico border crossing,"Río Bravo, Colonia Hidalgo, Nuevo Laredo, Tamaulipas, Mexico","Hoy Tamaulipas, El Debate, La Opinión, Prensa Libre","27.4964873, -99.525607",Central America,Se ahoga mujer en el Río Bravo en Nuevo Laredo,3.0,http://bit.ly/2Br7XF6
2018.MMP00081,2018.MMP00081,Incident,North America,2018-01-24,2018,January,1.0,,1,,,1.0,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.34065, -111.49673",Northern America,,5.0,http://www.humaneborders.info/
2018.MMP00089,2018.MMP00089,Incident,North America,2018-01-26,2018,January,1.0,,1,,,1.0,1.0,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Ranch near Marfa, Presidio County, Texas, USA",Presidio County Sheriff's Office,"30.2252871, -104.129113",Northern America,,5.0,
2018.MMP00090,2018.MMP00090,Incident,Central America,2018-01-26,2018,January,1.0,,1,,,1.0,,Unknown,Drowning,Unknown,US-Mexico border crossing,"Off the coast of Tijuana, Mexico, near border with the United States","El Debate, Uniradio Informa","32.5334735, -117.1246786",Uncategorized,Quería llegar a EU por el mar y murió ahogado en Playas de Tijuana,3.0,http://bit.ly/2FpwGMq
2018.MMP00108,2018.MMP00108,Incident,North America,2018-01-31,2018,January,1.0,,1,,,1.0,,Central America,Mixed or unknown,Guatemala,US-Mexico border crossing,Unspecified location on the US/Mexico border,Prensa Libre,"31.4971335, -111.413387",Northern America,Migrante quetzalteco muere en su tercer intento por llegar a Estados Unidos,1.0,http://bit.ly/2Cnfe9n
2018.MMP00109,2018.MMP00109,Incident,Central America,2018-01-31,2018,January,1.0,,1,,,1.0,,Latin America / Caribbean (P),Drowning,Unknown,US-Mexico border crossing,"Río Bravo, near La Ensenada in Poblado Venecia, Gustavo Díaz Ordaz, Tamaulipas, Mexico","El Mañana, La Tarde","26.2238448, -98.5968293",Central America,Tras 18 horas de búsqueda encuentran a hombre muerto en el río Bravo,3.0,http://bit.ly/2EbcEIw
2018.MMP00110,2018.MMP00110,Incident,Central America,2018-01-31,2018,January,1.0,,1,,,1.0,,Latin America / Caribbean (P),Drowning,Unknown,US-Mexico border crossing,"Río Bravo, near Puente Internacional II Juárez-Lincoln, Nuevo Laredo, Tamaulipas, Mexico","Hoy Tamaulipas, El Mañana de Nuevo Laredo, Líder Web","27.4999216, -99.5030964",Central America,Muere al intentar cruzar el Río Bravo por Nuevo Laredo,3.0,http://bit.ly/2EayBHN
2018.MMP00111,2018.MMP00111,Incident,Central America,2018-01-31,2018,January,1.0,,1,,,1.0,,Latin America / Caribbean (P),Drowning,Unknown,US-Mexico border crossing,"Río Bravo, near Ejido Longoreño, Matamoros, Tamaulipas, Mexico","El Diario de Victoria, Hoy Tamaulipas","25.8375141, -97.4054168",Central America,Fallece en intento por cruzar el Río Bravo,3.0,http://bit.ly/2GCqDWi
2018.MMP00117,2018.MMP00117,Incident,North America,2018-02-01,2018,February,1.0,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Private ranch in Kenedy County, Texas, USA",Kenedy County Sheriff's Office,"26.8448584, -97.6965488",Northern America,,5.0,
2018.MMP00128,2018.MMP00128,Incident,North America,2018-02-03,2018,February,1.0,,1,,,1.0,,Central America,Violence,Mexico,US-Mexico border crossing,"Rio Bravo, south of Military Highway and 15th St., Hidalgo, Hidalgo County, Texas, USA","Hidalgo County Sheriff's Office, El Mañana, My San Antonio","26.07197, -98.24819",Northern America,Solicitan ayuda para identificar a ahogado. Rescatado de aguas del río Bravo,5.0,http://bit.ly/2EwQYaf
2018.MMP00134,2018.MMP00134,Incident,North America,2018-02-05,2018,February,1.0,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"El Tule Ranch, Brooks County, Texas, USA",South Texas Human Rights Center,"27.2636237, -98.3722684",Northern America,,4.0,
2018.MMP00135,2018.MMP00135,Incident,North America,2018-02-05,2018,February,1.0,,1,,,1.0,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.428333, -112.635583",Northern America,,5.0,http://www.humaneborders.info/
2018.MMP00136,2018.MMP00136,Incident,Central America,2018-02-05,2018,February,1.0,,1,,,1.0,,Latin America / Caribbean (P),Drowning,Unknown,US-Mexico border crossing,"Río Bravo, near Hidalgo Bridge, Reynosa, Tamaulipas, Mexico",El Mañana ,"26.09427066, -98.27060223",Central America,Extraen a hombre ahogado en el Río Bravo,1.0,http://bit.ly/2BeYLHq
2018.MMP00143,2018.MMP00143,Incident,North America,2018-02-07,2018,February,1.0,,1,,,1.0,,Central America,Drowning,Mexico,US-Mexico border crossing,"New River, Calexico, Imperial County, California, USA",Imperial County Coroner's Office,"32.67175874, -115.5132042",Northern America,,5.0,
2018.MMP00152,2018.MMP00152,Incident,Central America,2018-02-10,2018,February,1.0,,1,,,1.0,,Latin America / Caribbean (P),Drowning,Unknown,US-Mexico border crossing,"Río Bravo, near Ejido El Faro, KM 17 of Carretera Ribereña near Reynosa, Tamaulipas, Mexico",El Mañana de Reynosa,"26.19965636, -98.4797287",Central America,Encuentran el cuerpo de hombre ahogado,1.0,http://bit.ly/2EA89r9
2018.MMP00160,2018.MMP00160,Incident,Central America,2018-02-12,2018,February,1.0,,1,,,1.0,,Central America,Drowning,El Salvador,US-Mexico border crossing,"Río Bravo, near San Miguel Nuevo, Gustavo Díaz Ordaz, Tamaulipas, Mexico","El Mañana, La Prensa Gráfica","26.25652523, -98.60064877",Central America,Recuperan cuerpo de un salvadoreño. Flota en el río y se atora en ramas,1.0,http://bit.ly/2F5A54j
2018.MMP00173,2018.MMP00173,Incident,North America,2018-02-14,2018,February,1.0,,1,,,1.0,,Central America,Accidental death,Mexico,US-Mexico border crossing,"Pump Canyon, ranch west of Langtry, Val Verde County, Texas, USA",Muere migrante al caer de un barranco en Del Río,"29.80260006, -101.5763329",Northern America,"Zócalo, San Angelo Live, El Siglo de Durango",3.0,http://bit.ly/2Gh0iME
2018.MMP00175,2018.MMP00175,Incident,North America,2018-02-14,2018,February,1.0,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Mariposa Ranch, Brooks County, Texas, USA",South Texas Human Rights Center,"27.0730842, -97.9760844",Northern America,,4.0,
2018.MMP00176,2018.MMP00176,Incident,North America,2018-02-14,2018,February,1.0,,1,,,1.0,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.84918, -112.14395",Northern America,,5.0,http://www.humaneborders.info/
2018.MMP00180,2018.MMP00180,Incident,North America,2018-02-15,2018,February,1.0,,1,,,1.0,,Central America,Mixed or unknown,El Salvador,US-Mexico border crossing,"King Ranch, Brooks County, Texas, USA",South Texas Human Rights Center,"27.1266376, -98.1861111",Northern America,,4.0,
